,Name,State,Comments
0,Betty Lou's Seafood and Grill,CA,
5,E Tutto Qua,CA,
16,Malbec,CA,
19,Mimi's Cafe,CA,
23,The Lion's Share,CA,
26,The Misfit Restaurant & Bar,CA,
32,Hodel's Country Dining,CA,
33,Magic Castle,CA,
36,The Attic,CA,
41,The Cheesecake Factory,CA,
43,Cheeseboard Pizza,CA,
44,Cortina's Italian Market & Pizzeria,CA,
46,Yard House,CA,
48,Jeanne D'Arc Restaurant,CA,
53,Mission Galleria,CA,
54,Bill's Cafe,CA,
56,Eddie V's Wildfish,CA,
60,Longboard Restaurant & Pub,CA,
72,Red Apple Cafe,CA,
74,Mulvaney's Building & Loan,CA,
77,Rutabegorz,CA,
82,Ajanta Distinctive Indian Cuisine,CA,
83,Black Angus Steakhouse,CA,
84,Off Vine,CA,
93,Bill's Pizza,CA,
99,Foxy's Restaurant,CA,
101,Heroes Restaurant and Brewery,CA,
102,La Playita,CA,
104,Din Tai Fung,CA,
109,Jin Sushi,CA,
114,Utopia,CA,
122,Duke's Huntington Beach,CA,
124,True Food Kitchen,CA,
131,Frank Fat's Restaurant,CA,
133,Roma D Italia,CA,
135,Stella Barra Pizzeria,CA,
136,Ambrogio15,CA,
138,Milt's Coffee Shop,CA,
139,Maccheroni Republic,CA,
150,Bobs at the Marina,CA,
155,King's Fish House,CA,
156,Ola Mexican Kitchen,CA,
157,MIZU Sushi Bar & Grill,CA,
162,Simmzy's Pub,CA,
178,Forge Pizza Oakland,CA,
179,Langer's,CA,
181,Wool Growers,CA,
182,Antonello Ristorante,CA,
201,President Thai Restaurant,CA,
208,Ooka Japanese Restaurant,CA,
212,La Quinta Cliffhouse Grill and Bar,CA,
213,Il Fornaio,CA,
216,Brent's Delicatessen & Restaurant,CA,
227,Localis,CA,
228,Las Campanas,CA,
236,Club 33,CA,
238,Yard House,CA,
240,Fred's Mexican Cafe,CA,
244,A Cote Restaurant,CA,
250,Brimstone,CA,
252,Sweet Maple,CA,
258,Catal Restaurant,CA,
261,Rascal's Teriyaki Grill,CA,
262,Market Broiler,CA,
266,Hop Saint Brewing Company,CA,
271,Bacon & Butter,CA,
276,Mua,CA,
277,HiroNori Craft Ramen,CA,
283,Cholita Linda,CA,
286,Black Angus Steakhouse - Torrance,CA,
292,Cafe Santorini,CA,
293,Nick's on 2nd,CA,
294,The Firehouse,CA,
296,Watertable,CA,
304,Tony's On the Pier,CA,
306,Iyasare,CA,
311,Ruby's Diner,CA,
314,La Brea Bakery Cafe,CA,
315,Piccolo Forno,CA,
318,Pizza Antica,CA,
319,Providence,CA,
322,Si Bon,CA,
337,Hollywood Cafe,CA,
339,L'ardoise Bistro,CA,
354,Sal's Mexican Restaurant,CA,
360,Schooner or Later,CA,
368,Meze Greek Fusion,CA,
377,Auld Dubliner,CA,
379,Blue Plate Oysterette,CA,
382,Max's Bistro & Bar,CA,
383,Napa Rose,CA,
385,The Fish Market - San Jose,CA,
390,Ruth's Chris Steak House,CA,
391,The Capital Grille,CA,
400,Black Bear Diner,CA,
401,Trattoria Corso,CA,
406,nFuse Restaurant,CA,
407,The Mission,CA,
414,The Capital Grille,CA,
419,Mi Piace,CA,
438,Parkers' Lighthouse,CA,
439,Asena Restaurant,CA,
443,Nob Hill Cafe,CA,
444,Bann Thai,CA,
447,Tres Hermanas Mexican Restaurant,CA,
448,Palm Greens Cafe,CA,
450,Backstreet Restaurant,CA,
456,China Palace,CA,
457,Great China,CA,
468,Purple Room Supper Club,CA,
475,Scott's Seafood Restaurant,CA,
478,Umami Burger,CA,
479,Piero's PizzaVino,CA,
484,Burma Superstar,CA,
488,Belotti Ristorante E Bottega,CA,
496,Henry's Ocean View Dining,CA,
504,BO-beau kitchen + roof tap,CA,
510,Sabroso! Mexican Grill,CA,
518,Midgley's Public House,CA,
519,P.F. Chang's,CA,
525,Harry's Coffee Shop,CA,
528,The Cove on Harbor,CA,
529,CUCINA urbana,CA,
537,Copleys On Palm Canyon,CA,
550,Bangkok West Thai,CA,
552,Parma Cucina Italiana,CA,
555,Angelini Osteria,CA,
564,Outback Steakhouse,CA,
567,Lucille's Smokehouse BBQ,CA,
569,Michael's on Naples,CA,
570,Smoking Pig BBQ Company,CA,
575,Firehouse No.1,CA,
580,Raffi's Place Restaurant,CA,
581,Yosemite Ranch,CA,
587,Sandys Beach Shack,CA,
595,Tony's Burgers,CA,
598,Nuestro Mexico Restaurant,CA,
600,Vegetarian House,CA,
610,Woolworth Diner,CA,
616,Elbow Room,CA,
621,Lazy Dog Restaurant & Bar,CA,
622,Genwa Korean BBQ,CA,
624,ButtercuP,CA,
625,Creme De La Crepe,CA,
629,Reunion Kitchen + Drink,CA,
633,Marri's Pizza & Italian,CA,
635,BJ's Restaurant & Brewhouse,CA,
643,Mona Lisa Cucina,CA,
654,Maggiano's Little Italy,CA,
663,Zachary's Chicago Pizza,CA,
665,JT Schmid's Restaurant & Brewery,CA,
673,Gus's Barbecue - South Pasadena,CA,
679,NINE-TEN Restaurant & Bar,CA,
681,Seasons 52,CA,
685,Hungry Hunter Steakhouse,CA,
688,Angelina's Spaghetti House,CA,
689,Rio City Cafe,CA,
692,Elmer's Restaurant - Palm Springs,CA,
693,Pono Burger,CA,
698,Hodad's,CA,
699,L'Opera Ristorante,CA,
712,Perkos Cafe & Grill,CA,
717,True Food Kitchen,CA,
720,Mikuni Japanese Restaurant and Sushi Bar,CA,
725,EIGHT4NINE Restaurant & Lounge,CA,
727,Original Joe's San Jose,CA,
735,Filling Station,CA,
737,Bellanico Restaurant and Wine Bar,CA,
743,Westwoods BBQ and Spice Co.,CA,
746,The Promiscuous Fork,CA,
750,Mastro's Steakhouse,CA,
754,Las Barcas,CA,
756,Ramen Tatsunoya,CA,
760,Temblor Brewing Comany,CA,
770,Pete's Sunset Grille,CA,
775,Cocoro Japanese Bistro & Sushi,CA,
788,Pacific Catch,CA,
794,Rutabegorz,CA,
795,Water Grill,CA,
805,Coqueta,CA,
807,Bistro 45,CA,
811,Cafe Jolie,CA,
827,Rick & Ann's,CA,
832,Parma,CA,
841,BOA Steakhouse Santa Monica,CA,
845,Angeline's Louisiana Kitchen,CA,
851,Il Fornaio,CA,
854,The Red Table,CA,
868,The Mad Duck,CA,
870,La Vecchia Cucina,CA,
873,The Raymond Restaurant,CA,
882,Whole Foods Market,CA,
905,Il Fornaio,CA,
908,Prime Table Steakhouse,CA,
910,Rutabegorz,CA,
913,Belotti Ristorante E Bottega,CA,
921,J's Place,CA,
924,Champa Garden,CA,
934,The Penthouse at the Huntley Hotel,CA,
936,Flake,CA,
939,Polly's on the Pier,CA,
955,Eddie V's Prime Seafood,CA,
959,Blue Daisy Cafe,CA,
965,Papapavlo's Bistro & Bar,CA,
968,Redbird,CA,
985,Hillstone Restaurant,CA,
986,Bootleggers Craft Pub & Eatery,CA,
987,Dave Wongs,CA,
993,Forma,CA,
994,Jupiter,CA,
995,Mediterranean Grill & Cafe,CA,
997,Dante's California Style Pizza & Cafe,CA,
1000,Cast Iron Trading Co,CA,
1006,Zachary's Chicago Pizza,CA,
1009,Bistango Restaurant,CA,
1010,Mile Wine Company,CA,
1015,Tyler's Burgers,CA,
1018,Fresco Mexican Grill,CA,
1023,Marie Callender's Restaurant & Bakery,CA,
1025,Hof's Hut,CA,
1026,Parkway Grill,CA,
1035,The 3rd Corner,CA,
1039,Rock Bottom Restaurant & Brewery,CA,
1041,Sam Woo,CA,
1063,Olivia's Mexican Restaurant,CA,
1065,Observation Bar,CA,
1068,Nemea Greek Taverna,CA,
1079,AVANT Restaurant,CA,
1081,Santa Monica Seafood,CA,
1087,Mario's Place,CA,
1092,Jimmy's Famous American Tavern,CA,
1098,Bangkok @12 Thai Restaurant,CA,
1102,Basic,CA,
1106,Cucina Alessa,CA,
1111,Quinn's Lighthouse Restaurant and Pub,CA,
1112,Tropicale,CA,
1114,Uricchio's Trattoria,CA,
1136,Luigi's Restaurant & Delicatessen,CA,
1143,Yard House,CA,
1151,Ruby's Diner,CA,
1159,La Ciccia,CA,
1161,Upper West,CA,
1166,The Terrace at The Langham,CA,
1171,Left Bank Brasserie Santana Row,CA,
1173,Julia's Restaurant,CA,
1175,Seasons52,CA,
1176,Don Luis Mexican Restaurant,CA,
1180,Vito's Trattoria,CA,
1184,Din Tai Fung,CA,
1190,Paul Martin's American Grill,CA,
1191,Townhouse Bar & Grill,CA,
1201,Fieldwork Brewing Company,CA,
1204,In-N-Out Burger,CA,
1208,Lucille's Smokehouse Bar-B-Que,CA,
1212,Kountry Folks,CA,
1217,Scardino's,CA,
1219,Zov's Bistro and Bakery,CA,
1224,Fresno Breakfast House,CA,
1227,The Upper Crust Sandwich Shoppe,CA,
1228,Luna Pizzeria & Italian Restaurant,CA,
1238,Sir Winston's Restaurant & Lounge,CA,
1239,n/naka,CA,
1241,Good Karma Vegan Cafe,CA,
1242,Lumberjacks Restaurant,CA,
1243,Pyrenees Cafe,CA,
1244,Market Broiler,CA,
1252,Pueblo Viejo Grill,CA,
1257,Delta Bistro and Lounge,CA,
1258,North Italia,CA,
1273,North Italia,CA,
1275,Proabition,CA,
1283,Skates on The Bay,CA,
1285,Fritto Misto,CA,
1300,Burma Superstar,CA,
1301,Cool Hand Luke's Steak House,CA,
1306,Enoteca Adriano,CA,
1319,Townhouse Bar & Grill,CA,
1321,Settebello,CA,
1330,Yoshi's,CA,
1331,Maggiano's Little Italy,CA,
1343,Old Spaghetti Factory,CA,
1344,Stout Burgers & Beer,CA,
1349,Pete's Seafood and Sandwich,CA,
1358,Karl Strauss Brewing Company,CA,
1359,Pilothouse Restaurant on the Delta King,CA,
1367,The Cove on Harbor,CA,
1370,Bella Trattoria,CA,
1372,Tequila Jack's,CA,
1381,Fat Lady,CA,
1383,The Annex Kitchen,CA,
1386,P.F. Chang's,CA,
1394,Wood Tavern,CA,
1405,Italianissimo Trattoria,CA,
1407,Mezzo,CA,
1411,Ristorante Franchino,CA,
1416,Ammatoli Mediterranean Bites,CA,
1424,Mi Casa Mexicana,CA,
1426,Woody's Diner,CA,
1428,Bubba Gump Shrimp Co.,CA,
1429,Waterloo,CA,
1431,Palenque by Mezcal,CA,
1438,Chapeau!,CA,
1439,Sushi On Fire,CA,
1458,Mission Inn Restaurant,CA,
1464,Eight Am,CA,
1467,Misaki Sushi and Bar,CA,
1470,D'Elia's Grinders,CA,
1472,Riviera Mexican Grill,CA,
1475,Original Pancake House,CA,
1481,Firestone Public House,CA,
1489,Lucca Restaurant,CA,
1493,Acquerello,CA,
1507,Souplantation,CA,
1514,FIG,CA,
1519,Il Fornaio,CA,
1521,Raw Japanese Bistro & Sushi Bar,CA,
1527,Swagat Indian Cuisine,CA,
1528,Snooze,CA,
1546,Roy's Restaurant,CA,
1555,New York Deli,CA,
1556,Zocalo,CA,
1564,555 East American Steakhouse,CA,
1572,Texas Roadhouse,CA,
1577,SPIN San Francisco,CA,
1586,El Pollo Inka Peruvian Restaurant,CA,
1588,Chez Maman,CA,
1594,Mercado Santa Monica,CA,
1605,Mo's Grill,CA,
1608,Maggiano's Little Italy,CA,
1609,The Black Trumpet Bistro Tapas & Wine Bar,CA,
1615,Lazy Dog Restaurant & Bar,CA,
1619,Andrei's Conscious Cuisine & Cocktails,CA,
1621,Pacifica Seafood Restaurant,CA,
1626,Roy's Restaurant,CA,
1627,Batter Up Pancakes,CA,
1629,Benji's French Basque Restaurant,CA,
1631,The Kitchen Restaurant,CA,
1634,Anchor Oyster Bar & Seafood Market,CA,
1635,Sam's Italian Deli and Market,CA,
1641,Chuck's Hamburgers,CA,
1642,Karl Strauss Brewing Company,CA,
1649,Grange Restaurant & Bar,CA,
1655,Pampas Grill,CA,
1659,Ralph Brennan's Jazz Kitchen,CA,
1666,Gaetano's Restaurant,CA,
1669,Baci di Firenze Trattoria,CA,
1685,Houston's,CA,
1686,54 Degrees at Duane's,CA,
1693,El Portal Restaurant,CA,
1714,Woodfire Cafe,CA,
1724,Fatamorgana Gelato - Ice cream,CA,
1731,Morton's The Steakhouse,CA,
1733,Chez Panisse,CA,
1734,Mangia-Mangia,CA,
1735,Mersea Restaurant,CA,
1737,Pismo's Coastal Grill,CA,
1742,Toast Bakery Cafe,CA,
1745,Southie,CA,
1752,Seven Hills,CA,
1753,Fresno Fleming's Prime Steakhouse & Wine Bar,CA,
1757,Tandoori Nites,CA,
1762,Tequila Museo Mayahuel,CA,
1767,Pacific Cafe,CA,
1775,The Original Pancake House,CA,
1777,Piatti,CA,
1778,The Winery Restaurant & Wine Bar,CA,
1781,Bette's Oceanview Diner,CA,
1783,La Foret Restaurant,CA,
1784,The San Franciscan,CA,
1803,Wood Ranch BBQ & Grill,CA,
1809,Sunset Pizza & Pasta,CA,
1816,Ella Dining Room & Bar,CA,
1817,Open Sesame,CA,
1822,Harbor House Cafe,CA,
1826,Union,CA,
1828,Benihana,CA,
1838,LB Steak,CA,
1847,El Torito Grill,CA,
1867,Karl Strauss Brewing Company,CA,
1870,Pacific Hideaway,CA,
1876,Bill's Cafe on the Alameda,CA,
1878,Off the Grid: Fort Mason Center,CA,
1882,Modica's Deli,CA,
1895,Central Park Restaurant,CA,
1899,Quality Seafood,CA,
1904,Sushi Gen,CA,
1907,Nozomi,CA,
1915,Hakata Ikkosha Torrance,CA,
1922,Great China Restaurant,CA,
1923,East Ocean Seafood Restaurant,CA,
1930,George's Greek Cafe,CA,
1936,The Curious Palate,CA,
1939,The Counter Santana Row,CA,
1942,Hopscotch,CA,
1943,Anepalco's Cafe at Ayres Hotel,CA,
1950,Jus' Jo's,CA,
1956,Hog Island Oyster Company,CA,
1961,Kokkari Estiatorio,CA,
1963,Eureka!,CA,
1978,Fogo de Chao Brazilian Steakhouse,CA,
1984,Boathouse on the Bay,CA,
1987,Blue Elephant,CA,
1989,Homeroom,CA,
1990,Trio Restaurant,CA,
1997,Sushi Ota,CA,
2004,90 Pacifica Restaurant and Bar,CA,
2008,Nick's on South Lake Avenue,CA,
2017,Quince,CA,
2026,Tatsu Ramen,CA,
2031,The Luggage Room Pizzeria,CA,
2033,Old Vine Kitchen & Bar,CA,
2034,Wilma & Frieda's Cafe,CA,
2044,R+D Kitchen,CA,
2046,BJ's Restaurant & Brewhouse,CA,
2047,Le Chat Noir,CA,
2048,Buon Gusto,CA,
2052,Russell's,CA,
2054,Casa Martin,CA,
2062,Captain Jack's Restaurant,CA,
2064,Riva Cucina,CA,
2072,Anchos Southwest Grill & Bar,CA,
2073,Yen Du Restaurant,CA,
2076,Mama Roomba,CA,
2085,Houston's,CA,
2086,"Truluck's Seafood, Steak and Crab House",CA,
2088,BLK Earth Sea Spirits,CA,
2095,Tommy Bahama's Restaurant & Bar,CA,
2099,Liholiho Yacht Club,CA,
2100,Bud's Seafood Grille,CA,
2109,Zut!,CA,
2121,BJ's Restaurant & Brewhouse,CA,
2122,Morton's The Steakhouse,CA,
2123,Zachary's Chicago Pizza,CA,
2132,The Grill on the Alley,CA,
2138,Yard House,CA,
2139,Noriega's,CA,
2142,We Olive & Wine Bar,CA,
2144,House of JuJu,CA,
2147,Burma Superstar,CA,
2153,Aliotta's Via Firenze,CA,
2166,La Costa Mariscos,CA,
2168,I-naba Japanese Restaurant,CA,
2171,Panini Kabob Grill - Irvine,CA,
2176,Los Sanchez Mexican Restaurant,CA,
2182,La Grande Orange Cafe,CA,
2183,Drake's Dealership,CA,
2184,Osawa Pasadena,CA,
2186,Farm,CA,
2190,Richard Walker's Pancake House,CA,
2193,Crest Bar & Grill,CA,
2195,Chef's Choice Noodle Bar,CA,
2196,Tocaya Organica - San Diego,CA,
2200,Trader Sam's Enchanted Tiki Bar,CA,
2203,Zeni Ethiopian Restaurant,CA,
2205,Grill-A-Burger,CA,
2206,Henry's Hi-Life,CA,
2210,The Belvedere in The Padre Hotel,CA,
2224,Jakes Original Tex Mex Cafe,CA,
2232,The Boiling Crab,CA,
2241,Citrus City Grille,CA,
2246,The Porch Restaurant and Bar,CA,
2248,P.F. Chang's,CA,
2255,Cafe Gratitude,CA,
2256,AC3 Restaurant + Bar,CA,
2258,Gale's Italian Restaurant and Bar,CA,
2271,Gra Pow,CA,
2285,Family House of Pancakes,CA,
2290,Baja Betty's,CA,
2291,Tower Cafe,CA,
2293,Republique,CA,
2297,Arroyo Chop House,CA,
2303,The Tamale Factory,CA,
2312,Sushi Asahi,CA,
2316,Bluewater Grill,CA,
2319,Wood Ranch BBQ & Grill,CA,
2320,"Kincaid's Fish, Chop & Steak House",CA,
2323,Billy Q's,CA,
2324,Lapisara Eatery,CA,
2325,Burma Superstar Restaurant,CA,
2338,Le Papillon,CA,
2348,Cast Iron Trading Co,CA,
2353,Rick's Restaurant & Bakery,CA,
2354,CUCINA enoteca Irvine,CA,
2356,Slater's 50/50,CA,
2363,24th Street Cafe,CA,
2373,Tar and Roses,CA,
2378,The Bazaar by Jose Andres,CA,
2382,Claire's Cafe',CA,
2385,Tender Greens,CA,
2392,Sweet Tomatoes,CA,
2393,Oliveto Cafe and Restaurant,CA,
2397,The Ranch Restaurant & Saloon,CA,
2398,Scott's Seafood - San Jose,CA,
2400,burgers and brew,CA,
2402,Venus Restaurant,CA,
2404,Cactus Cantina,CA,
2411,South,CA,
2412,25 Degrees,CA,
2413,Dominiqueâ€™s Kitchen,CA,
2419,Fuego - Maya Hotel,CA,
2423,Kru Contemporary Japanese Cuisine,CA,
2424,Umami Burger,CA,
2426,Basil's Restaurant & Bar,CA,
2430,Saint & Second,CA,
2443,Yard House,CA,
2448,Domingo's Italian Deli,CA,
2449,Taqueria Don Pepe,CA,
2452,Ristorante Mamma Gina,CA,
2457,Le Vallauris,CA,
2460,Gather,CA,
2463,Paesano Ristorante Italiano,CA,
2464,Speisekammer,CA,
2470,Shan Dong Restaurant,CA,
2471,Ruth's Chris Steak House,CA,
2474,Green Street Restaurant,CA,
2500,Blue Plate Taco,CA,
2502,Good Stuff Restaurant,CA,
2503,Cafeteria 15L,CA,
2509,Rivoli Restaurant,CA,
2516,Kirala,CA,
2526,Spencer's Restaurant,CA,
2527,Parkway Grill,CA,
2529,SUGARFISH by sushi nozawa,CA,
2530,The Cheesecake Factory,CA,
2546,Sugar Shack Cafe,CA,
2548,El Rancho Inn-Steak & Lobster,CA,
2552,Pizza Rock,CA,
2557,Cope's Knotty Pine Cafe,CA,
2567,John Henry's Cafe,CA,
2572,Olive Pit Grill,CA,
2598,Lucille's Smokehouse BBQ,CA,
2599,California Pizza Kitchen,CA,
2601,Brunos,CA,
2607,Garlic Brothers,CA,
2612,Tahoe Joe's Famous Steakhouse,CA,
2625,Dog House Grill,CA,
2627,RockSugar Southeast Asian Kitchen,CA,
2629,Ruth's Chris Steak House,CA,
2637,Capone's Cucina,CA,
2639,Mastro's Steakhouse,CA,
2640,Mexicali,CA,
2642,EIGHT4NINE Restaurant & Lounge,CA,
2643,Roma D Italia,CA,
2650,Wood Tavern,CA,
2663,Sandy's Country Junction,CA,
2670,The Boiling Crab,CA,
2711,The Salted Pig,CA,
2718,Frugatti's,CA,
2724,Urth Caffe,CA,
2728,Texas de Brazil,CA,
2731,Shakewell,CA,
2737,Habanero Mexican Grill,CA,
2744,Aioli Bodega Espanola,CA,
2748,Lazy Dog Restaurant & Bar,CA,
2749,The Breakfast Bar,CA,
2755,Raffaello Ristorante,CA,
2761,Joe's Crab Shack,CA,
2764,Ruth's Chris Steak House,CA,
2767,Tender Greens,CA,
2773,Long Beach Cafe,CA,
2778,Seasons 52,CA,
2784,Red Robin Gourmet Burgers,CA,
2786,A.R. Valentien at The Lodge at Torrey Pines,CA,
2787,Tortilla Jo's,CA,
2793,Arnold Palmer's Restaurant,CA,
2795,La Note,CA,
2797,The Potholder Cafe Too,CA,
2804,La Perlita Mexican Food,CA,
2807,Cork & Fork,CA,
2810,Delancey Street Restaurant,CA,
2830,The Waterboy,CA,
2836,Dawson's Steakhouse,CA,
2839,Ruth's Chris Steak House,CA,
2848,Urban Plates,CA,
2859,Marston's,CA,
2863,Steakhouse 55,CA,
2864,Matsu Restaurant,CA,
2865,Comal,CA,
2870,Whirlow's Tossed And Grilled,CA,
2871,Zachary's Chicago Pizza,CA,
2872,Nena's Mexican Restaurant,CA,
2873,Boulevard,CA,
2874,Agora Churrascaria,CA,
2876,Cafe Gratitude,CA,
2886,Fire + Ice,CA,
2889,Duane's Prime Steaks and Seafood,CA,
2897,Roscoe's House of Chicken and Waffles,CA,
2898,Belmont Brewing Company,CA,
2900,Eat At Joe's,CA,
2906,Nickel Diner,CA,
2907,Din Tai Fung,CA,
2911,Roman Cucina,CA,
2915,Phoenician Garden Mediterranean Bar and Grill,CA,
2927,Harney Sushi,CA,
2935,Miro's Restaurant,CA,
2942,Guillermo's Restaurante,CA,
2945,Biba Restaurant,CA,
2950,Roscoes House of Chicken N Waffles,CA,
2953,Saul's Restaurant and Deli,CA,
2955,Rutabegorz,CA,
2957,Orphan,CA,
2958,Big Deans Oceanfront Cafe,CA,
2964,Veranda Fireside Lounge & Restaurant,CA,
2966,Coco's Bakery Restaurant,CA,
2977,Mezcal Bistro & Bar,CA,
2981,Gabbi's Mexican Kitchen,CA,
2988,Trabocco,CA,
2991,Lemonade,CA,
2999,The Playground,CA,
3006,Amelia's,CA,
3016,The Cottage La Jolla,CA,
3017,Ca' Del Sole,CA,
3018,Hodad's Downtown,CA,
3025,Market Tavern,CA,
3049,The Ranch Restaurant & Saloon,CA,
